Step,s,e,i,r
106,59,7,103,81
107,58,7,103,82
108,55,7,105,83
109,50,9,106,85
110,49,10,105,86
111,49,8,105,88
112,49,8,105,88
113,49,6,105,90
114,48,6,106,90
115,44,9,107,90
116,44,5,109,92
117,42,6,108,94
118,42,6,106,96
119,40,7,106,97
120,39,7,103,101
121,39,6,104,101
122,39,4,103,104
123,36,6,103,105
124,36,5,104,105
125,36,4,104,106
126,36,4,102,108
127,35,4,103,108
128,35,4,103,108
129,34,4,102,110
130,33,4,103,110
131,32,4,101,113
132,32,3,101,114
133,32,3,101,114
134,31,1,102,116
135,30,2,101,117
136,30,2,99,119
137,30,2,99,119
138,29,2,98,121
139,27,4,98,121
140,27,4,97,122
141,27,3,96,124
142,27,2,97,124
143,25,4,96,125
144,25,4,93,128
145,24,5,92,129
146,22,7,92,129
147,22,6,91,131
148,19,7,93,131
149,17,8,94,131
150,17,6,92,135
151,17,3,94,136
152,17,3,94,136
153,15,3,96,136
154,15,2,97,136
155,15,2,97,136
156,15,2,96,137
157,15,1,96,138
158,15,1,95,139
159,15,1,94,140
160,14,2,92,142
161,14,2,89,145
162,14,2,89,145
163,13,3,86,148
164,13,2,87,148
165,13,2,86,149
166,13,2,86,149
167,13,1,87,149
168,13,1,87,149
169,13,1,87,149
170,13,1,87,149
171,13,1,87,149
172,12,2,87,149
173,12,2,87,149
174,12,2,85,151
175,12,2,84,152
176,12,0,86,152
177,12,0,86,152
178,11,1,85,153
179,11,1,84,154
180,11,1,81,157
181,11,1,79,159
182,11,1,79,159
183,10,2,78,160
184,9,2,78,161
185,8,3,78,161
186,8,2,79,161
187,7,2,79,162
188,7,2,78,163
189,7,2,77,164
190,7,1,76,166
191,7,1,76,166
192,6,2,76,166
193,6,1,76,167
194,6,1,73,170
195,6,0,74,170
196,6,0,74,170
197,6,0,71,173
198,6,0,70,174
199,6,0,70,174
200,6,0,70,174
201,6,0,69,175
202,6,0,69,175
203,5,1,67,177
204,5,1,66,178
205,5,1,65,179
206,5,1,65,179
207,5,1,65,179
208,5,0,65,180
209,5,0,62,183
210,5,0,59,186
211,5,0,58,187
212,5,0,58,187
213,5,0,58,187
214,5,0,56,189
215,5,0,53,192
216,5,0,52,193
217,5,0,52,193
218,5,0,51,194
219,5,0,51,194
220,5,0,51,194
221,5,0,51,194
222,5,0,51,194
223,5,0,50,195
224,5,0,50,195
225,5,0,48,197
226,5,0,47,198
227,5,0,47,198
228,5,0,47,198
229,5,0,47,198
230,4,1,47,198
231,4,1,47,198
232,4,0,47,199
233,4,0,47,199
234,4,0,47,199
235,4,0,47,199
236,4,0,46,200
237,4,0,46,200
238,3,1,46,200
239,2,2,46,200
240,2,2,46,200
241,2,1,47,200
242,2,0,48,200
243,2,0,48,200
244,2,0,47,201
245,2,0,47,201
246,2,0,46,202
247,2,0,46,202
248,2,0,45,203
249,2,0,45,203
250,2,0,45,203
251,2,0,45,203
252,2,0,43,205
253,2,0,43,205
254,2,0,43,205
255,2,0,42,206
256,2,0,40,208
257,2,0,40,208
258,2,0,40,208
259,2,0,40,208
260,2,0,40,208
261,2,0,39,209
262,2,0,39,209
263,2,0,39,209
264,2,0,39,209
265,2,0,39,209
266,2,0,39,209
267,2,0,39,209
268,2,0,39,209
269,2,0,39,209
270,2,0,38,210
271,2,0,37,211
272,2,0,36,212
273,2,0,36,212
274,2,0,36,212
275,2,0,36,212
276,2,0,36,212
277,2,0,36,212
278,2,0,36,212
279,2,0,34,214
280,2,0,33,215
281,2,0,32,216
282,2,0,31,217
283,2,0,31,217
284,2,0,30,218
285,2,0,30,218
286,2,0,30,218
287,2,0,29,219
288,2,0,29,219
289,2,0,28,220
290,2,0,28,220
291,2,0,28,220
292,2,0,27,221
293,2,0,27,221
294,2,0,26,222
295,2,0,25,223
296,2,0,25,223
297,2,0,25,223
298,2,0,24,224
299,2,0,23,225
300,2,0,22,226
301,2,0,22,226
302,2,0,22,226
303,2,0,22,226
304,2,0,21,227
305,2,0,21,227
306,1,1,21,227
307,1,1,20,228
308,1,1,20,228
309,1,1,20,228
310,1,1,19,229
311,1,1,19,229
312,1,1,17,231
313,1,1,17,231
314,1,1,17,231
315,1,1,16,232
316,1,1,16,232
317,1,1,15,233
318,1,0,15,234
319,1,0,15,234
320,1,0,15,234
321,1,0,15,234
322,1,0,15,234
323,1,0,14,235
324,1,0,14,235
325,1,0,14,235
326,1,0,14,235
327,1,0,14,235
328,1,0,14,235
329,1,0,14,235
330,1,0,13,236
331,1,0,13,236
332,1,0,13,236
333,1,0,12,237
334,1,0,12,237
335,1,0,12,237
336,1,0,12,237
337,1,0,11,238
338,1,0,11,238
339,1,0,11,238
340,1,0,10,239
341,1,0,10,239
342,1,0,10,239
343,1,0,10,239
344,1,0,10,239
345,1,0,10,239
346,1,0,10,239
347,1,0,9,240
348,1,0,9,240
349,1,0,9,240
350,1,0,9,240
351,1,0,9,240
352,1,0,9,240
353,1,0,9,240
354,1,0,9,240
355,1,0,9,240
356,1,0,9,240
357,1,0,9,240
358,1,0,9,240
359,1,0,9,240
360,1,0,7,242
361,1,0,7,242
362,1,0,7,242
363,1,0,7,242
364,1,0,7,242
365,1,0,7,242
366,1,0,7,242
367,1,0,7,242
368,1,0,7,242
369,1,0,7,242
370,1,0,7,242
371,1,0,7,242
372,1,0,7,242
373,1,0,7,242
374,1,0,7,242
375,1,0,7,242
376,1,0,7,242
377,1,0,7,242
378,1,0,6,243
379,1,0,5,244
380,1,0,5,244
381,1,0,5,244
382,1,0,5,244
383,1,0,5,244
384,1,0,5,244
385,1,0,5,244
386,1,0,5,244
387,1,0,5,244
388,1,0,5,244
389,1,0,5,244
390,1,0,5,244
391,1,0,5,244
392,1,0,5,244
393,1,0,5,244
394,1,0,5,244
395,1,0,5,244
396,1,0,5,244
397,1,0,5,244
398,1,0,5,244
399,1,0,5,244
400,1,0,5,244
401,1,0,5,244
402,1,0,5,244
403,1,0,5,244
404,1,0,5,244
405,1,0,5,244
406,1,0,5,244
407,1,0,5,244
408,1,0,5,244
409,1,0,5,244
410,1,0,5,244
411,1,0,5,244
412,1,0,5,244
413,1,0,5,244
414,1,0,5,244
415,1,0,5,244
416,1,0,5,244
417,1,0,5,244
418,1,0,5,244
419,1,0,5,244
420,1,0,5,244
421,1,0,5,244
422,1,0,5,244
423,1,0,5,244
424,1,0,5,244
425,1,0,5,244
426,1,0,5,244
427,1,0,5,244
428,1,0,5,244
429,1,0,5,244
430,1,0,5,244
431,1,0,5,244
432,1,0,5,244
433,1,0,5,244
434,1,0,5,244
435,1,0,5,244
436,1,0,5,244
437,1,0,5,244
438,1,0,5,244
439,1,0,5,244
440,1,0,5,244
441,1,0,5,244
442,1,0,5,244
443,1,0,5,244
444,1,0,5,244
445,1,0,5,244
446,1,0,5,244
447,1,0,5,244
448,1,0,5,244
449,1,0,5,244
450,1,0,5,244
451,1,0,5,244
452,1,0,5,244
453,1,0,5,244
454,1,0,5,244
455,1,0,5,244
456,1,0,5,244
457,1,0,5,244
458,1,0,5,244
459,1,0,5,244
460,1,0,5,244
461,1,0,5,244
462,1,0,5,244
463,1,0,5,244
464,1,0,5,244
465,1,0,5,244
466,1,0,5,244
467,1,0,5,244
468,1,0,5,244
469,1,0,5,244
470,1,0,5,244
471,1,0,5,244
472,1,0,5,244
473,1,0,5,244
474,1,0,5,244
475,1,0,5,244
476,1,0,5,244
477,1,0,5,244
478,1,0,5,244
479,1,0,5,244
480,1,0,5,244
481,1,0,5,244
482,1,0,5,244
483,1,0,5,244
484,1,0,5,244
485,1,0,5,244
486,1,0,5,244
487,1,0,5,244
488,1,0,5,244
489,1,0,5,244
490,1,0,5,244
491,1,0,5,244
492,1,0,5,244
493,1,0,5,244
494,1,0,5,244
495,1,0,5,244
496,1,0,5,244
497,1,0,5,244
498,1,0,5,244
499,1,0,5,244
500,1,0,5,244
501,1,0,5,244
502,1,0,5,244
503,1,0,5,244
504,1,0,4,245
505,1,0,4,245
506,1,0,4,245
507,1,0,4,245
508,1,0,4,245
509,1,0,4,245
510,1,0,4,245
511,1,0,4,245
512,1,0,4,245
513,1,0,4,245
514,1,0,4,245
515,1,0,3,246
516,1,0,3,246
517,1,0,2,247
518,1,0,2,247
519,1,0,2,247
520,1,0,2,247
521,1,0,2,247
522,1,0,2,247
523,1,0,2,247
524,1,0,1,248
525,1,0,1,248
526,1,0,1,248
527,1,0,1,248
528,1,0,1,248
529,1,0,1,248
530,1,0,1,248
531,1,0,1,248
532,1,0,1,248
533,1,0,1,248
534,1,0,1,248
535,1,0,1,248
536,1,0,1,248
537,1,0,1,248
538,1,0,1,248
539,1,0,1,248
540,1,0,1,248
541,1,0,1,248
542,1,0,1,248
543,1,0,1,248
544,1,0,1,248
545,1,0,1,248
546,1,0,1,248
547,1,0,1,248
548,1,0,1,248
549,1,0,1,248
550,1,0,1,248
551,1,0,1,248
552,1,0,1,248
553,1,0,1,248
554,1,0,1,248
555,1,0,1,248
556,1,0,1,248
557,1,0,1,248
558,1,0,1,248
559,1,0,1,248
560,1,0,1,248
561,1,0,1,248
562,1,0,1,248
563,1,0,1,248
564,1,0,1,248
565,1,0,1,248
566,1,0,1,248
567,1,0,1,248
568,1,0,1,248
569,1,0,1,248
570,1,0,1,248
571,1,0,1,248
572,1,0,1,248
573,1,0,1,248
574,1,0,1,248
575,1,0,1,248
576,1,0,1,248
577,1,0,1,248
578,1,0,0,249
579,1,0,0,249
580,1,0,0,249
581,1,0,0,249
582,1,0,0,249
583,1,0,0,249
584,1,0,0,249
585,1,0,0,249
586,1,0,0,249
587,1,0,0,249
588,1,0,0,249
589,1,0,0,249
590,1,0,0,249
591,1,0,0,249
592,1,0,0,249
593,1,0,0,249
594,1,0,0,249
595,1,0,0,249
596,1,0,0,249
597,1,0,0,249
598,1,0,0,249
599,1,0,0,249
600,1,0,0,249
601,1,0,0,249
602,1,0,0,249
603,1,0,0,249
604,1,0,0,249
605,1,0,0,249
606,1,0,0,249
607,1,0,0,249
608,1,0,0,249
609,1,0,0,249
610,1,0,0,249
611,1,0,0,249
612,1,0,0,249
613,1,0,0,249
614,1,0,0,249
615,1,0,0,249
616,1,0,0,249
617,1,0,0,249
618,1,0,0,249
619,1,0,0,249
620,1,0,0,249
621,1,0,0,249
622,1,0,0,249
623,1,0,0,249
624,1,0,0,249
625,1,0,0,249
626,1,0,0,249
627,1,0,0,249
628,1,0,0,249
629,1,0,0,249
630,1,0,0,249
631,1,0,0,249
632,1,0,0,249
633,1,0,0,249
634,1,0,0,249
635,1,0,0,249
636,1,0,0,249
637,1,0,0,249
638,1,0,0,249
639,1,0,0,249
640,1,0,0,249
641,1,0,0,249
642,1,0,0,249
643,1,0,0,249
644,1,0,0,249
645,1,0,0,249
646,1,0,0,249
647,1,0,0,249
648,1,0,0,249
649,1,0,0,249
650,1,0,0,249
651,1,0,0,249
652,1,0,0,249
653,1,0,0,249
654,1,0,0,249
655,1,0,0,249
656,1,0,0,249
657,1,0,0,249
658,1,0,0,249
659,1,0,0,249
660,1,0,0,249
661,1,0,0,249
662,1,0,0,249
663,1,0,0,249
664,1,0,0,249
665,1,0,0,249
666,1,0,0,249
667,1,0,0,249
668,1,0,0,249
669,1,0,0,249
670,1,0,0,249
671,1,0,0,249
672,1,0,0,249
673,1,0,0,249
674,1,0,0,249
675,1,0,0,249
676,1,0,0,249
677,1,0,0,249
678,1,0,0,249
679,1,0,0,249
680,1,0,0,249
681,1,0,0,249
682,1,0,0,249
683,1,0,0,249
684,1,0,0,249
685,1,0,0,249
686,1,0,0,249
687,1,0,0,249
688,1,0,0,249
689,1,0,0,249
690,1,0,0,249
691,1,0,0,249
692,1,0,0,249
693,1,0,0,249
694,1,0,0,249
695,1,0,0,249
696,1,0,0,249
697,1,0,0,249
698,1,0,0,249
699,1,0,0,249
700,1,0,0,249
701,1,0,0,249
702,1,0,0,249
703,1,0,0,249
704,1,0,0,249
705,1,0,0,249
706,1,0,0,249
707,1,0,0,249
708,1,0,0,249
709,1,0,0,249
710,1,0,0,249
711,1,0,0,249
712,1,0,0,249
713,1,0,0,249
714,1,0,0,249
715,1,0,0,249
716,1,0,0,249
717,1,0,0,249
718,1,0,0,249
719,1,0,0,249
720,1,0,0,249
721,1,0,0,249
722,1,0,0,249
723,1,0,0,249
724,1,0,0,249
725,1,0,0,249
726,1,0,0,249
727,1,0,0,249
728,1,0,0,249
729,1,0,0,249
730,1,0,0,249
731,1,0,0,249
732,1,0,0,249
733,1,0,0,249
734,1,0,0,249
735,1,0,0,249
736,1,0,0,249
737,1,0,0,249
738,1,0,0,249
739,1,0,0,249
740,1,0,0,249
741,1,0,0,249
742,1,0,0,249
743,1,0,0,249
744,1,0,0,249
745,1,0,0,249
746,1,0,0,249
747,1,0,0,249
748,1,0,0,249
749,1,0,0,249
750,1,0,0,249
751,1,0,0,249
752,1,0,0,249
753,1,0,0,249
754,1,0,0,249
755,1,0,0,249
756,1,0,0,249
757,1,0,0,249
758,1,0,0,249
759,1,0,0,249
760,1,0,0,249
761,1,0,0,249
762,1,0,0,249
763,1,0,0,249
764,1,0,0,249
765,1,0,0,249
766,1,0,0,249
767,1,0,0,249
768,1,0,0,249
769,1,0,0,249
770,1,0,0,249
771,1,0,0,249
772,1,0,0,249
773,1,0,0,249
774,1,0,0,249
775,1,0,0,249
776,1,0,0,249
777,1,0,0,249
778,1,0,0,249
779,1,0,0,249
780,1,0,0,249
781,1,0,0,249
782,1,0,0,249
783,1,0,0,249
784,1,0,0,249
785,1,0,0,249
786,1,0,0,249
787,1,0,0,249
788,1,0,0,249
789,1,0,0,249
790,1,0,0,249
791,1,0,0,249
792,1,0,0,249
793,1,0,0,249
794,1,0,0,249
795,1,0,0,249
796,1,0,0,249
797,1,0,0,249
798,1,0,0,249
799,1,0,0,249
800,1,0,0,249
801,1,0,0,249
802,1,0,0,249
803,1,0,0,249
804,1,0,0,249
805,1,0,0,249
806,1,0,0,249
807,1,0,0,249
808,1,0,0,249
809,1,0,0,249
810,1,0,0,249
811,1,0,0,249
812,1,0,0,249
813,1,0,0,249
814,1,0,0,249
815,1,0,0,249
816,1,0,0,249
817,1,0,0,249
818,1,0,0,249
819,1,0,0,249
820,1,0,0,249
821,1,0,0,249
822,1,0,0,249
823,1,0,0,249
824,1,0,0,249
825,1,0,0,249
826,1,0,0,249
827,1,0,0,249
828,1,0,0,249
829,1,0,0,249
830,1,0,0,249
831,1,0,0,249
832,1,0,0,249
833,1,0,0,249
834,1,0,0,249
835,1,0,0,249
836,1,0,0,249
837,1,0,0,249
838,1,0,0,249
839,1,0,0,249
840,1,0,0,249
841,1,0,0,249
842,1,0,0,249
843,1,0,0,249
844,1,0,0,249
845,1,0,0,249
846,1,0,0,249
847,1,0,0,249
848,1,0,0,249
849,1,0,0,249
850,1,0,0,249
851,1,0,0,249
852,1,0,0,249
853,1,0,0,249
854,1,0,0,249
855,1,0,0,249
856,1,0,0,249
857,1,0,0,249
858,1,0,0,249
859,1,0,0,249
860,1,0,0,249
861,1,0,0,249
862,1,0,0,249
863,1,0,0,249
864,1,0,0,249
865,1,0,0,249
866,1,0,0,249
867,1,0,0,249
868,1,0,0,249
869,1,0,0,249
870,1,0,0,249
871,1,0,0,249
872,1,0,0,249
873,1,0,0,249
874,1,0,0,249
875,1,0,0,249
876,1,0,0,249
877,1,0,0,249
878,1,0,0,249
879,1,0,0,249
880,1,0,0,249
881,1,0,0,249
882,1,0,0,249
883,1,0,0,249
884,1,0,0,249
885,1,0,0,249
886,1,0,0,249
887,1,0,0,249
888,1,0,0,249
889,1,0,0,249
890,1,0,0,249
891,1,0,0,249
892,1,0,0,249
893,1,0,0,249
894,1,0,0,249
895,1,0,0,249
896,1,0,0,249
897,1,0,0,249
898,1,0,0,249
899,1,0,0,249
900,1,0,0,249
901,1,0,0,249
902,1,0,0,249
903,1,0,0,249
904,1,0,0,249
905,1,0,0,249
906,1,0,0,249
907,1,0,0,249
908,1,0,0,249
909,1,0,0,249
910,1,0,0,249
911,1,0,0,249
912,1,0,0,249
913,1,0,0,249
914,1,0,0,249
915,1,0,0,249
916,1,0,0,249
917,1,0,0,249
918,1,0,0,249
919,1,0,0,249
920,1,0,0,249
921,1,0,0,249
922,1,0,0,249
923,1,0,0,249
924,1,0,0,249
925,1,0,0,249
926,1,0,0,249
927,1,0,0,249
928,1,0,0,249
929,1,0,0,249
930,1,0,0,249
931,1,0,0,249
932,1,0,0,249
933,1,0,0,249
934,1,0,0,249
935,1,0,0,249
936,1,0,0,249
937,1,0,0,249
938,1,0,0,249
939,1,0,0,249
940,1,0,0,249
941,1,0,0,249
942,1,0,0,249
943,1,0,0,249
944,1,0,0,249
945,1,0,0,249
946,1,0,0,249
947,1,0,0,249
948,1,0,0,249
949,1,0,0,249
950,1,0,0,249
951,1,0,0,249
952,1,0,0,249
953,1,0,0,249
954,1,0,0,249
955,1,0,0,249
956,1,0,0,249
957,1,0,0,249
958,1,0,0,249
959,1,0,0,249
960,1,0,0,249
961,1,0,0,249
962,1,0,0,249
963,1,0,0,249
964,1,0,0,249
965,1,0,0,249
966,1,0,0,249
967,1,0,0,249
968,1,0,0,249
969,1,0,0,249
970,1,0,0,249
971,1,0,0,249
972,1,0,0,249
973,1,0,0,249
974,1,0,0,249
975,1,0,0,249
976,1,0,0,249
977,1,0,0,249
978,1,0,0,249
979,1,0,0,249
980,1,0,0,249
981,1,0,0,249
982,1,0,0,249
983,1,0,0,249
984,1,0,0,249
985,1,0,0,249
986,1,0,0,249
987,1,0,0,249
988,1,0,0,249
989,1,0,0,249
990,1,0,0,249
991,1,0,0,249
992,1,0,0,249
993,1,0,0,249
994,1,0,0,249
995,1,0,0,249
996,1,0,0,249
997,1,0,0,249
998,1,0,0,249
999,1,0,0,249
1000,1,0,0,249
1001,1,0,0,249
1002,1,0,0,249
1003,1,0,0,249
1004,1,0,0,249
1005,1,0,0,249
1006,1,0,0,249
1007,1,0,0,249
1008,1,0,0,249
1009,1,0,0,249
1010,1,0,0,249
1011,1,0,0,249
1012,1,0,0,249
1013,1,0,0,249
1014,1,0,0,249
1015,1,0,0,249
1016,1,0,0,249
1017,1,0,0,249
1018,1,0,0,249
1019,1,0,0,249
1020,1,0,0,249
1021,1,0,0,249
1022,1,0,0,249
1023,1,0,0,249
1024,1,0,0,249
1025,1,0,0,249
1026,1,0,0,249
1027,1,0,0,249
1028,1,0,0,249
1029,1,0,0,249
1030,1,0,0,249
1031,1,0,0,249
1032,1,0,0,249
1033,1,0,0,249
1034,1,0,0,249
1035,1,0,0,249
1036,1,0,0,249
1037,1,0,0,249
1038,1,0,0,249
1039,1,0,0,249
1040,1,0,0,249
1041,1,0,0,249
1042,1,0,0,249
1043,1,0,0,249
1044,1,0,0,249
1045,1,0,0,249
1046,1,0,0,249
1047,1,0,0,249
1048,1,0,0,249
1049,1,0,0,249
1050,1,0,0,249
1051,1,0,0,249
1052,1,0,0,249
1053,1,0,0,249
1054,1,0,0,249
1055,1,0,0,249
1056,1,0,0,249
1057,1,0,0,249
1058,1,0,0,249
1059,1,0,0,249
1060,1,0,0,249
1061,1,0,0,249
1062,1,0,0,249
1063,1,0,0,249
1064,1,0,0,249
1065,1,0,0,249
1066,1,0,0,249
1067,1,0,0,249
1068,1,0,0,249
1069,1,0,0,249
1070,1,0,0,249
1071,1,0,0,249
1072,1,0,0,249
1073,1,0,0,249
1074,1,0,0,249
1075,1,0,0,249
1076,1,0,0,249
1077,1,0,0,249
1078,1,0,0,249
1079,1,0,0,249
1080,1,0,0,249
1081,1,0,0,249
1082,1,0,0,249
1083,1,0,0,249
1084,1,0,0,249
1085,1,0,0,249
1086,1,0,0,249
1087,1,0,0,249
1088,1,0,0,249
1089,1,0,0,249
1090,1,0,0,249
1091,1,0,0,249
1092,1,0,0,249
1093,1,0,0,249
1094,1,0,0,249
1095,1,0,0,249
1096,1,0,0,249
1097,1,0,0,249
1098,1,0,0,249
1099,1,0,0,249
1100,1,0,0,249
1101,1,0,0,249
1102,1,0,0,249
1103,1,0,0,249
1104,1,0,0,249
1105,1,0,0,249
1106,1,0,0,249
1107,1,0,0,249
1108,1,0,0,249
1109,1,0,0,249
1110,1,0,0,249
1111,1,0,0,249
1112,1,0,0,249
1113,1,0,0,249
1114,1,0,0,249
1115,1,0,0,249
1116,1,0,0,249
1117,1,0,0,249
1118,1,0,0,249
1119,1,0,0,249
1120,1,0,0,249
1121,1,0,0,249
1122,1,0,0,249
1123,1,0,0,249
1124,1,0,0,249
1125,1,0,0,249
1126,1,0,0,249
1127,1,0,0,249
1128,1,0,0,249
1129,1,0,0,249
1130,1,0,0,249
1131,1,0,0,249
1132,1,0,0,249
1133,1,0,0,249
1134,1,0,0,249
1135,1,0,0,249
1136,1,0,0,249
1137,1,0,0,249
1138,1,0,0,249
1139,1,0,0,249
1140,1,0,0,249
1141,1,0,0,249
1142,1,0,0,249
1143,1,0,0,249
1144,1,0,0,249
1145,1,0,0,249
1146,1,0,0,249
1147,1,0,0,249
1148,1,0,0,249
1149,1,0,0,249
1150,1,0,0,249
1151,1,0,0,249
1152,1,0,0,249
1153,1,0,0,249
1154,1,0,0,249
1155,1,0,0,249
1156,1,0,0,249
1157,1,0,0,249
1158,1,0,0,249
1159,1,0,0,249
1160,1,0,0,249
1161,1,0,0,249
1162,1,0,0,249
1163,1,0,0,249
1164,1,0,0,249
1165,1,0,0,249
1166,1,0,0,249
1167,1,0,0,249
1168,1,0,0,249
1169,1,0,0,249
1170,1,0,0,249
1171,1,0,0,249
1172,1,0,0,249
1173,1,0,0,249
1174,1,0,0,249
1175,1,0,0,249
1176,1,0,0,249
1177,1,0,0,249
1178,1,0,0,249
1179,1,0,0,249
1180,1,0,0,249
1181,1,0,0,249
1182,1,0,0,249
1183,1,0,0,249
1184,1,0,0,249
1185,1,0,0,249
1186,1,0,0,249
1187,1,0,0,249
1188,1,0,0,249
1189,1,0,0,249
1190,1,0,0,249
1191,1,0,0,249
1192,1,0,0,249
1193,1,0,0,249
1194,1,0,0,249
1195,1,0,0,249
1196,1,0,0,249
1197,1,0,0,249
1198,1,0,0,249
1199,1,0,0,249
1200,1,0,0,249
1201,1,0,0,249
1202,1,0,0,249
1203,1,0,0,249
1204,1,0,0,249
1205,1,0,0,249
1206,1,0,0,249
1207,1,0,0,249
1208,1,0,0,249
1209,1,0,0,249
1210,1,0,0,249
1211,1,0,0,249
1212,1,0,0,249
1213,1,0,0,249
1214,1,0,0,249
1215,1,0,0,249
1216,1,0,0,249
1217,1,0,0,249
1218,1,0,0,249
1219,1,0,0,249
1220,1,0,0,249
1221,1,0,0,249
1222,1,0,0,249
1223,1,0,0,249
1224,1,0,0,249
1225,1,0,0,249
1226,1,0,0,249
1227,1,0,0,249
1228,1,0,0,249
1229,1,0,0,249
1230,1,0,0,249
1231,1,0,0,249
1232,1,0,0,249
1233,1,0,0,249
1234,1,0,0,249
1235,1,0,0,249
1236,1,0,0,249
1237,1,0,0,249
1238,1,0,0,249
1239,1,0,0,249
1240,1,0,0,249
1241,1,0,0,249
1242,1,0,0,249
1243,1,0,0,249
1244,1,0,0,249
1245,1,0,0,249
1246,1,0,0,249
1247,1,0,0,249
1248,1,0,0,249
1249,1,0,0,249
1250,1,0,0,249
1251,1,0,0,249
1252,1,0,0,249
1253,1,0,0,249
1254,1,0,0,249
1255,1,0,0,249
1256,1,0,0,249
1257,1,0,0,249
1258,1,0,0,249
1259,1,0,0,249
1260,1,0,0,249
1261,1,0,0,249
1262,1,0,0,249
1263,1,0,0,249
1264,1,0,0,249
1265,1,0,0,249
1266,1,0,0,249
1267,1,0,0,249
1268,1,0,0,249
1269,1,0,0,249
1270,1,0,0,249
1271,1,0,0,249
1272,1,0,0,249
1273,1,0,0,249
1274,1,0,0,249
1275,1,0,0,249
1276,1,0,0,249
1277,1,0,0,249
1278,1,0,0,249
1279,1,0,0,249
1280,1,0,0,249
1281,1,0,0,249
1282,1,0,0,249
1283,1,0,0,249
1284,1,0,0,249
1285,1,0,0,249
1286,1,0,0,249
1287,1,0,0,249
1288,1,0,0,249
1289,1,0,0,249
1290,1,0,0,249
1291,1,0,0,249
1292,1,0,0,249
1293,1,0,0,249
1294,1,0,0,249
1295,1,0,0,249
1296,1,0,0,249
1297,1,0,0,249
1298,1,0,0,249
1299,1,0,0,249
1300,1,0,0,249
1301,1,0,0,249
1302,1,0,0,249
1303,1,0,0,249
1304,1,0,0,249
1305,1,0,0,249
1306,1,0,0,249
1307,1,0,0,249
1308,1,0,0,249
1309,1,0,0,249
1310,1,0,0,249
1311,1,0,0,249
1312,1,0,0,249
1313,1,0,0,249
1314,1,0,0,249
1315,1,0,0,249
1316,1,0,0,249
1317,1,0,0,249
1318,1,0,0,249
1319,1,0,0,249
1320,1,0,0,249
1321,1,0,0,249
1322,1,0,0,249
1323,1,0,0,249
1324,1,0,0,249
1325,1,0,0,249
1326,1,0,0,249
1327,1,0,0,249
1328,1,0,0,249
1329,1,0,0,249
1330,1,0,0,249
1331,1,0,0,249
1332,1,0,0,249
1333,1,0,0,249
1334,1,0,0,249
1335,1,0,0,249
1336,1,0,0,249
1337,1,0,0,249
1338,1,0,0,249
1339,1,0,0,249
1340,1,0,0,249
1341,1,0,0,249
1342,1,0,0,249
1343,1,0,0,249
1344,1,0,0,249
1345,1,0,0,249
1346,1,0,0,249
1347,1,0,0,249
1348,1,0,0,249
1349,1,0,0,249
1350,1,0,0,249
1351,1,0,0,249
1352,1,0,0,249
1353,1,0,0,249
1354,1,0,0,249
1355,1,0,0,249
1356,1,0,0,249
1357,1,0,0,249
1358,1,0,0,249
1359,1,0,0,249
1360,1,0,0,249
